Country;% (CIA);Year (CIA);WB (2023);UN (2005-10);UN (2010-15);UN (2015-2020)
Turkmenistan;0.91;2023;1.0;1.25;1.11;1.02
Tuvalu;2.47;2023;2.4;2.85;2.74;2.62
Uganda;2.63;2023;2.6;3.01;2.86;2.74
Ukraine;0.34;2023;0.5;0.65;0.56;0.50
United Arab Emirates;0.98;2023;1.0;1.23;1.12;1.01
United Kingdom;0.26;2023;0.6;0.72;0.62;0.56
United States;0.32;2023;0.7;0.83;0.73;0.65
Uruguay;0.26;2023;0.5;0.67;0.58;0.51
Uzbekistan;1.02;2023;1.0;1.31;1.14;1.05
Vanuatu;2.35;2023;2.3;2.70;2.58;2.47
Vatican City;0.04;2023;0.1;0.45;0.40;0.34
Venezuela;2.45;2023;2.4;2.79;2.69;2.56
Vietnam;2.04;2023;2.0;2.44;2.31;2.18
Yemen;2.57;2023;2.6;2.94;2.83;2.74
Zambia;2.71;2023;2.7;3.06;2.94;2.82
Zimbabwe;2.50;2023;2.4;2.93;2.80;2.68
