Country;Adults;Median;Mean;Gini;Year
Djibouti;645,000;1,285;3,853;78.4;2022
Dominica;50,000;13,789;44,406;81.1;2022
Ecuador;11,782,000;7,610;21,650;80.3;2022
Egypt;61,853,000;6,656;20,195;79.2;2022
El Salvador;4,304,000;15,0494;7,422;81.7;2022
Equatorial Guinea;821,000;7,501;30,333;87.1;2022
Eritrea;1,802,000;1,431;3,688;76.0;2022
Estonia;1,035,000;39,586;78,777;73.1;2022
Ethiopia;61,191,000;2,124;4,905;72.5;2022
European Union;355,665,000;77,515;213,429;2022
Fiji;574,000;5,950;17,998;78.5;2022
Finland;4,399,000;84,093;179,986;72.4;2022
France;50,368,000;133,137;312,235;70.3;2022
Gabon;1,270,000;5,487;16,217;79.8;2022
Gambia;1,189,000;735;2,986;86.0;2022
Georgia;2,930,000;9,451;28,169;79.7;2022
Germany;68,024,000;66,735;256,179;77.2;2022
Ghana;17,493,000;2,622;6,423;75.3;2022
Greece;8,421,000;53,501;105,724;68.1;2022
Grenada;79,000;19,736;64,092;81.3;2022
Guinea;6,533,000;2,060;6,638;81.6;2022
Guinea-Bissau;1,004,000;664;1,791;77.6;2022
Guyana;509,000;6,896;18,587;76.8;2022
Haiti;6,885,000;207;626;81.3;2022
Hong Kong;6,338,000;202,406;551,194;73.7;2022
Hungary;7,725,000;26,4165;9,348;67.7;2022
Iceland;259,000;413,193;498,290;64.5;2022
India;931,224,000;3,755;16,500;82.5;2022
Indonesia;186,544,000;4,819;17,457;78.0;2022
Iran;59,323,000;17,341;51,147;78.8;2022
Ireland;3,695,000;90,741;247,080;79.9;2022
Israel;5,812,000;77,604;235,445;74.9;2022
Italy;49,781,000;107,315;221,370;67.8;2022
Jamaica;2,078,000;7,529;24,547;82.4;2022
Japan;104,511,000;103,681;216,078;65.0;2022
Jordan;6,041,000;14,219;38,923;76.7;2022
Kazakhstan;12,373,000;25,225;58,205;77.4;2022
Kenya;29,346,000;4,356;14,829;82.8;2022
South Korea;42,859,000;92,719;230,760;67.9;2022
Kuwait;3,224,000;41,605;175,072;85.4;2022
Kyrgyzstan;4,040,000;3,398;8,542;74.8;2022
Laos;4,472,000;1,366;6,191;87.3;2022
Latvia;1,441,000;46,899;97,583;80.4;2022
Lesotho;1,276,000;266;1,531;91.1;2022
Liberia;2,661,000;1,977;5,886;80.1;2022
Libya;4,590,000;5,223;13,420;76.2;2022
Lithuania;2,115,000;32,385;69,541;70.6;2022
Luxembourg;510,000;360,715;585,950;64.8;2022
Madagascar;14,747,000;658;2,257;82.2;2022
Malawi;9,542,000;620;2,415;85.1;2022
Malaysia;23,130,000;8,523;29,314;83.1;2022
Maldives;401,000;7,970;25,187;81.3;2022
Mali;9,235,000;863;2,658;80.2;2022
Malta;360,000;96,835;160,265;60.9;2022
Mauritania;2,518,000;1,125;3,013;76.4;2022
Mauritius;984,000;31,103;68,846;71.4;2022
Mexico;87,983,000;18,920;55,274;79.3;2022
Moldova;3,173,000;10,131;20,590;69.3;2022
Mongolia;2,097,000;3,003;7,578;74.2;2022
Montenegro;477,000;43,438;81,900;69.3;2022
Morocco;25,026,000;3,896;13,862;82.3;2022
Mozambique;15,210,000;570;1,353;74.9;2022
Myanmar;36,861,000;3,6367,670;68.0;2022
Namibia;1,432,000;4,832;20,690;87.0;2022
Nepal;19,193,000;1,685;4,672;77.6;2022
Netherlands;13,591,000;112,450;358,235;78.8;2022
New Zealand;3,668,000;193,065;388,761;69.9;2022
Nicaragua;4,263,000;5,133;16,083;81.6;2022
Niger;10,550,000;599;1,436;73.9;2022
Nigeria;101,545,000;1,507;6,879;86.5;2022
Norway;4,267,000;143,887;385,338;76.9;2022
Oman;3,858,000;11,377;48,951;87.5;2022
Pakistan;129,747,000;2,0765,226;74.4;2022
Panama;2,955,000;15,724;50,917;82.5;2022
Papua New Guinea;5,197,000;1,828;8,606;88.6;2022
Paraguay;4,616,000;4,930;14,809;81.0;2022
Peru;23,041,000;7,555;22,514;80.1;2022
Philippines;69,804,000;3,155;14,486;87.3;2022
Poland;30,181,000;20,263;52,741;68.4;2022
Portugal;8,337,000;70,409;158,840;70.3;2022
Qatar;2,465,000;90,262;164,992;58.6;2022
Romania;15,057,000;21,545;44,320;69.3;2022
Russia;110,998,000;8,595;39,514;86.9;2022
Rwanda;6,990,000;1,711;5,561;82.0;2022
Samoa;109,000;4,150;11,929;77.7;2022
São Tomé and Príncipe;110,000;1,775;4,162;73.7;2022
Saudi Arabia;24,925,000;20,701;90,975;86.7;2022
Senegal;8,492,000;1,664;5,009;79.8;2022
Serbia;5,451,000;16,462;34,080;69.9;2022
Seychelles;69,000;37,787;94,620;76.2;2022
Sierra Leone;4,158,000;329;749;73.3;2022
Singapore;4,977,000;99,488;382,957;78.8;2022
Slovakia;4,341,000;40,703;62,125;50.8;2022
Slovenia;1,668,000;75,600;112,526;64.4;2022
Solomon Islands;367,000;3,429;11,660;82.0;2022
South Africa;38,667,000;5,141;23,956;88.8;2022
Spain;37,855,000;107,507;224,209;68.3;2022
Sri Lanka;14,966,000;8,615;23,991;77.2;2022
Saint Lucia;141,000;12,454;42,301;82.7;2022
Saint Vincent and the Grenadines;79,000;7,357;23,728;81.1;2022
Suriname;392,000;1,444;7,885;89.2;2022
Sweden;7,866,000;77,515;296,800;87.4;2022
Switzerland;7,047,000;167,353;685,226;77.2;2022
Syria;12,229,000;680;1,911;77.8;2022
Taiwan;19,803,000;108,247;273,788;69.8;2022
Tajikistan;5,442,000;1,863;4,592;73.8;2022
Tanzania;29,686,000;2,005;4,869;74.7;2022
Thailand;54,741,000;9,602;25,956;76.0;2022
Togo;4,336,000;488;1,520;81.5;2022
Tonga;60,000;20,960;55,898;77.7;2022
Trinidad and Tobago;1,042,000;20,960;55,939;75.9;2022
Tunisia;8,372,000;7,298;21,087;78.4;2022
Turkey;59,247,000;5,488;17,578;80.2;2022
Uganda;21,416,000;798;2,780;83.0;2022
United Arab Emirates;8,138,000;31,761;152,556;86.9;2022
United Kingdom;52,752,000;151,825;302,783;70.2;2022
United States;253,681,000;107,739;551,347;83.0;2022
Uruguay;2,560,000;33,522;84,778;77.2;2022
Vanuatu;170,000;5,276;16,347;79.9;2022
Venezuela;19,373,000;12,955;33,420;77.8;2022
Vietnam;69,792,000;5,309;14,569;78.8;2022
Yemen;16,241,000;1,406;6,492;88.4;2022
Zambia;8,987,000;774;3,761;89.0;2022
